year,city,country,avg_temp,movingavg_15y
1996,New York,United States,9.81,10.214
1997,New York,United States,10,10.22866667
1998,New York,United States,11.82,10.316
1999,New York,United States,11.16,10.376
2000,New York,United States,9.97,10.35666667
2001,New York,United States,10.93,10.40866667
2002,New York,United States,11.25,10.47066667
2003,New York,United States,9.84,10.46466667
2004,New York,United States,10.39,10.51333333
2005,New York,United States,10.68,10.47066667
2006,New York,United States,11.52,10.48133333
2007,New York,United States,10.63,10.552
2008,New York,United States,10.64,10.592
2009,New York,United States,10.14,10.60133333
2010,New York,United States,11.36,10.676
2011,New York,United States,11.27,10.77333333
2012,New York,United States,11.97,10.90466667
2013,New York,United States,12.16,10.92733333
